Vivado Simulator 2018.1
Time resolution is 1 ps
Iniciando simulaci鏮CLK_100MHZ iniciado
聲gulo =                     0, 00b60b60, Xout =  32765, Yout =      2
聲gulo =                    95, 44444444, Xout =   2857, Yout =  32639
聲gulo =                    96, 44fa4fa4, Xout =   3425, Yout =  32585
聲gulo =                    97, 45b05b05, Xout =   3993, Yout =  32522
聲gulo =                    98, 46666666, Xout =   4560, Yout =  32445
聲gulo =                    99, 471c71c7, Xout =   5124, Yout =  32362
聲gulo =                   100, 47d27d27, Xout =   5690, Yout =  32266
聲gulo =                   101, 48888888, Xout =   6251, Yout =  32163
聲gulo =                   102, 493e93e9, Xout =   6815, Yout =  32046
聲gulo =                   103, 49f49f49, Xout =   7368, Yout =  31924
聲gulo =                   104, 4aaaaaaa, Xout =   7927, Yout =  31790
聲gulo =                   105, 4b60b60b, Xout =   8478, Yout =  31651
聲gulo =                   106, 4c16c16c, Xout =   9034, Yout =  31493
聲gulo =                   107, 4ccccccc, Xout =   9575, Yout =  31335
聲gulo =                   108, 4d82d82d, Xout =  10121, Yout =  31164
聲gulo =                   109, 4e38e38e, Xout =  10666, Yout =  30979
聲gulo =                   110, 4eeeeeee, Xout =  11208, Yout =  30785
聲gulo =                   111, 4fa4fa4f, Xout =  11743, Yout =  30587
聲gulo =                   112, 505b05b0, Xout =  12277, Yout =  30377
聲gulo =                   113, 51111111, Xout =  12799, Yout =  30162
聲gulo =                   114, 51c71c71, Xout =  13325, Yout =  29934
聲gulo =                   115, 527d27d2, Xout =  13847, Yout =  29698
聲gulo =                   116, 53333333, Xout =  14365, Yout =  29448
聲gulo =                   117, 53e93e93, Xout =  14876, Yout =  29193
聲gulo =                   118, 549f49f4, Xout =  15384, Yout =  28929
聲gulo =                   119, 55555555, Xout =  15886, Yout =  28656
聲gulo =                   120, 560b60b6, Xout =  16383, Yout =  28377
聲gulo =                   121, 56c16c16, Xout =  16875, Yout =  28085
聲gulo =                   122, 57777777, Xout =  17364, Yout =  27787
聲gulo =                   123, 582d82d8, Xout =  17849, Yout =  27473
聲gulo =                   124, 58e38e38, Xout =  18320, Yout =  27162
聲gulo =                   125, 59999999, Xout =  18794, Yout =  26839
聲gulo =                   126, 5a4fa4fa, Xout =  19256, Yout =  26508
聲gulo =                   127, 5b05b05b, Xout =  19719, Yout =  26165
聲gulo =                   128, 5bbbbbbb, Xout =  20172, Yout =  25819
聲gulo =                   129, 5c71c71c, Xout =  20619, Yout =  25462
聲gulo =                   130, 5d27d27d, Xout =  21061, Yout =  25100
聲gulo =                   131, 5ddddddd, Xout =  21493, Yout =  24728
聲gulo =                   132, 5e93e93e, Xout =  21924, Yout =  24348
聲gulo =                   133, 5f49f49f, Xout =  22342, Yout =  23964
聲gulo =                   134, 60000000, Xout =  22758, Yout =  23570
聲gulo =                   135, 60b60b60, Xout =  23168, Yout =  23167
聲gulo =                   136, 616c16c1, Xout =  23570, Yout =  22758
聲gulo =                   137, 62222222, Xout =  23964, Yout =  22342
聲gulo =                   138, 62d82d82, Xout =  24348, Yout =  21924
聲gulo =                   139, 638e38e3, Xout =  24728, Yout =  21493
聲gulo =                   140, 64444444, Xout =  25100, Yout =  21061
聲gulo =                   141, 64fa4fa4, Xout =  25462, Yout =  20619
聲gulo =                   142, 65b05b05, Xout =  25819, Yout =  20172
聲gulo =                   143, 66666666, Xout =  26165, Yout =  19719
聲gulo =                   144, 671c71c7, Xout =  26508, Yout =  19256
聲gulo =                   145, 67d27d27, Xout =  26839, Yout =  18794
聲gulo =                   146, 68888888, Xout =  27162, Yout =  18320
聲gulo =                   147, 693e93e9, Xout =  27473, Yout =  17849
聲gulo =                   148, 69f49f49, Xout =  27787, Yout =  17364
聲gulo =                   149, 6aaaaaaa, Xout =  28085, Yout =  16875
聲gulo =                   150, 6b60b60b, Xout =  28377, Yout =  16383
聲gulo =                   151, 6c16c16c, Xout =  28656, Yout =  15886
聲gulo =                   152, 6ccccccc, Xout =  28929, Yout =  15384
聲gulo =                   153, 6d82d82d, Xout =  29193, Yout =  14876
聲gulo =                   154, 6e38e38e, Xout =  29448, Yout =  14365
聲gulo =                   155, 6eeeeeee, Xout =  29698, Yout =  13847
聲gulo =                   156, 6fa4fa4f, Xout =  29934, Yout =  13325
聲gulo =                   157, 705b05b0, Xout =  30162, Yout =  12799
聲gulo =                   158, 71111111, Xout =  30377, Yout =  12277
聲gulo =                   159, 71c71c71, Xout =  30587, Yout =  11743
聲gulo =                   160, 727d27d2, Xout =  30785, Yout =  11208
聲gulo =                   161, 73333333, Xout =  30979, Yout =  10666
聲gulo =                   162, 73e93e93, Xout =  31164, Yout =  10121
聲gulo =                   163, 749f49f4, Xout =  31335, Yout =   9575
聲gulo =                   164, 75555555, Xout =  31493, Yout =   9034
聲gulo =                   165, 760b60b6, Xout =  31651, Yout =   8478
聲gulo =                   166, 76c16c16, Xout =  31790, Yout =   7927
聲gulo =                   167, 77777777, Xout =  31924, Yout =   7368
聲gulo =                   168, 782d82d8, Xout =  32046, Yout =   6815
聲gulo =                   169, 78e38e38, Xout =  32163, Yout =   6251
聲gulo =                   170, 79999999, Xout =  32266, Yout =   5690
聲gulo =                   171, 7a4fa4fa, Xout =  32362, Yout =   5124
聲gulo =                   172, 7b05b05b, Xout =  32445, Yout =   4560
聲gulo =                   173, 7bbbbbbb, Xout =  32522, Yout =   3993
聲gulo =                   174, 7c71c71c, Xout =  32585, Yout =   3425
聲gulo =                   175, 7d27d27d, Xout =  32639, Yout =   2857
聲gulo =                   176, 7ddddddd, Xout =  32685, Yout =   2288
聲gulo =                   177, 7e93e93e, Xout =  32718, Yout =   1714
聲gulo =                   178, 7f49f49f, Xout =  32743, Yout =   1146
聲gulo =                   179, 80000000, Xout =  32757, Yout =    574
聲gulo =                   180, 80b60b60, Xout =  32765, Yout =      2
聲gulo =                   181, 816c16c1, Xout =  32757, Yout =    574
聲gulo =                   182, 82222222, Xout =  32743, Yout =   1146
聲gulo =                   183, 82d82d82, Xout =  32718, Yout =   1714
聲gulo =                   184, 838e38e3, Xout =  32685, Yout =   2288
聲gulo =                   185, 84444444, Xout =  32639, Yout =   2857
聲gulo =                   186, 84fa4fa4, Xout =  32585, Yout =   3425
聲gulo =                   187, 85b05b05, Xout =  32522, Yout =   3993
聲gulo =                   188, 86666666, Xout =  32445, Yout =   4560
聲gulo =                   189, 871c71c7, Xout =  32362, Yout =   5124
聲gulo =                   190, 87d27d27, Xout =  32266, Yout =   5690
聲gulo =                   191, 88888888, Xout =  32163, Yout =   6251
聲gulo =                   192, 893e93e9, Xout =  32046, Yout =   6815
聲gulo =                   193, 89f49f49, Xout =  31924, Yout =   7368
聲gulo =                   194, 8aaaaaaa, Xout =  31790, Yout =   7927
聲gulo =                   195, 8b60b60b, Xout =  31651, Yout =   8478
聲gulo =                   196, 8c16c16c, Xout =  31493, Yout =   9034
聲gulo =                   197, 8ccccccc, Xout =  31335, Yout =   9575
聲gulo =                   198, 8d82d82d, Xout =  31164, Yout =  10121
聲gulo =                   199, 8e38e38e, Xout =  30979, Yout =  10666
聲gulo =                   200, 8eeeeeee, Xout =  30785, Yout =  11208
聲gulo =                   201, 8fa4fa4f, Xout =  30587, Yout =  11743
聲gulo =                   202, 905b05b0, Xout =  30377, Yout =  12277
聲gulo =                   203, 91111111, Xout =  30162, Yout =  12799
聲gulo =                   204, 91c71c71, Xout =  29934, Yout =  13325
聲gulo =                   205, 927d27d2, Xout =  29698, Yout =  13847
聲gulo =                   206, 93333333, Xout =  29448, Yout =  14365
聲gulo =                   207, 93e93e93, Xout =  29193, Yout =  14876
聲gulo =                   208, 949f49f4, Xout =  28929, Yout =  15384
聲gulo =                   209, 95555555, Xout =  28656, Yout =  15886
聲gulo =                   210, 960b60b6, Xout =  28377, Yout =  16383
聲gulo =                   211, 96c16c16, Xout =  28085, Yout =  16875
聲gulo =                   212, 97777777, Xout =  27787, Yout =  17364
聲gulo =                   213, 982d82d8, Xout =  27473, Yout =  17849
聲gulo =                   214, 98e38e38, Xout =  27162, Yout =  18320
聲gulo =                   215, 99999999, Xout =  26839, Yout =  18794
聲gulo =                   216, 9a4fa4fa, Xout =  26508, Yout =  19256
聲gulo =                   217, 9b05b05b, Xout =  26165, Yout =  19719
聲gulo =                   218, 9bbbbbbb, Xout =  25819, Yout =  20172
聲gulo =                   219, 9c71c71c, Xout =  25462, Yout =  20619
聲gulo =                   220, 9d27d27d, Xout =  25100, Yout =  21061
聲gulo =                   221, 9ddddddd, Xout =  24728, Yout =  21493
聲gulo =                   222, 9e93e93e, Xout =  24348, Yout =  21924
聲gulo =                   223, 9f49f49f, Xout =  23964, Yout =  22342
聲gulo =                   224, a0000000, Xout =  23570, Yout =  22758
聲gulo =                   225, a0b60b60, Xout =  23168, Yout =  23167
聲gulo =                   226, a16c16c1, Xout =  22758, Yout =  23570
聲gulo =                   227, a2222222, Xout =  22342, Yout =  23964
